,pred_entropy-tau,pred_entropy-spearman,brier-tau,brier-spearman,pred_err-tau,pred_err-spearman,log_pred_prob-tau,log_pred_prob-spearman,i_model,method,k,dist,seed,timestamp,i_ens
d30b2343-42a5-49ab-84f3-5f1c550757dd,0.0817956733454771,0.11954242269431677,0.07108311882808538,0.10401517429983143,0.07742694016065912,0.11322516391717581,-0.07531561996373065,-0.11013721242217009,-1,NC,1,cosine,0,1715625426.551992,
ccb8f989-2841-46a2-a2cc-5cb35fa0e372,0.16838344507984582,0.24910127807800198,0.13592059613723162,0.20219238025974356,0.15404753091499274,0.22863271710907077,-0.14813589951538755,-0.22017299081637198,-1,NC,100,cosine,0,1715625426.551992,
98b93563-e407-4b8f-b2a8-3b74eac82df2,0.02106432832862244,0.029850487373310836,-0.017784839906777903,-0.02732079139586361,-0.00034549458055256794,-0.0015365318974068052,0.0051311735791635445,0.008504293279272547,-1,AvgDist,1,cosine,0,1715625426.551992,0
15979b8e-8d3b-402e-8912-c576415abd98,0.028213124980204382,0.040697833110565546,-0.013494411060435437,-0.02090618299781445,0.005017122364462373,0.006513694235390976,0.00018971899656312663,0.0010244758962847137,-1,AvgDist,1,cosine,0,1715625426.551992,1
c11b425a-1604-4007-ba02-43332e475ab6,0.02692299633808342,0.03880971754184362,-0.016123114568693024,-0.024697651184013812,0.003523212849766926,0.004383593138033193,0.0019556558589342845,0.0035736550498973647,-1,AvgDist,1,cosine,0,1715625426.551992,2
8f44cc7e-442c-4ff9-a418-f2f960fd80de,0.02264944698314857,0.03285238426741085,-0.014698731049003409,-0.022512865935668966,0.002088028990821694,0.0024232782182982107,0.0025507553050984903,0.004353639319653941,-1,AvgDist,1,cosine,0,1715625426.551992,3
49a5d6a5-272b-4181-adfd-552d78a83bfe,0.01281610250737792,0.01797119370608933,-0.02048746997624584,-0.03097849826234259,-0.0061706774996973975,-0.009867150470878713,0.009985539252913045,0.01539786647830202,-1,AvgDist,1,cosine,0,1715625426.551992,4
eafeed53-5520-41e5-9f5a-5b8f80007691,0.020007503351310647,0.02857441666085857,-0.016300131969212837,-0.02517098208661598,-0.0002537254055248562,-0.0013966811000212815,0.004468147395598739,0.007516404909457189,-1,AvgDist,1,cosine,0,1715625426.551992,5
e69b5b80-8df2-4ba2-b9e8-c54d86808ea5,0.03182150533268386,0.04606696366805165,-0.011264007414502144,-0.017691846423396145,0.008461807026883407,0.011619304586541626,-0.0030042207224943275,-0.0036393919385031017,-1,AvgDist,1,cosine,0,1715625426.551992,6
80635297-159a-432b-972d-e205e171e7bf,0.028440548320914513,0.041452220774387566,-0.012433545095205924,-0.019020425603003113,0.00619784071374752,0.008670437385094543,-0.0013174719448152813,-0.001511193711179941,-1,AvgDist,1,cosine,0,1715625426.551992,7
